"id","code","name","active","street","street2","city","zip","country/id","phone","fax","state","email","clearing","bic","ccp"
"__setup__.res_bank_1","RSV","Reserve","true","","","","","","","","","","","",""
"__setup__.res_bank_3712","","Non spécifié","true","","","","","","","","","","","",""
"__setup__.res_bank_3713","","Crédit Suisse","true","1211","","Genève 70","","base.ch","","","","","","",""
"__setup__.res_bank_3714","","Postfinance","true","","","Berne","3002","","","","","","","",""
"__setup__.res_bank_3715","","Credit Suisse","true","","","Zürich","8070","","","","","","","CRESHCZZ80A",""
"__setup__.res_bank_3716","","Crédit Suisse","true","","","Bale","","","","","","","4835","CRESCHZZ80A",""
"__setup__.res_bank_3717","","Sparkasse Mecklenburg-Schwerin","true","","","","","","","","","","","NOLADE21LWL",""
"__setup__.res_bank_3711","","CSP EUR","true","Lidicka 1734 Roztoky u Prahy","","","","base.cz","","","","","","GIBACZPX",""
"__setup__.res_bank_18","UBS","UBS AG","true","Bahnhofstrasse 14","","Ilanz","7130","base.ch","081 926 15 00","","","","208","UBSWCHZH70A",""
"__setup__.res_bank_21","UBS","UBS AG","true","Neudorfstrasse 46","","Thusis","7430","base.ch","081 632 39 00","","","","208","UBSWCHZH70A",""
"__setup__.res_bank_40","UBS","UBS SA","true","Plazza da Cumün","","Poschiavo","7742","base.ch","081 839 78 00","","","","221","UBSWCHZH75A",""
"__setup__.res_bank_43","UBS","UBS AG","true","Zürcherstrasse 18","","Schlieren","8952","base.ch","044 733 41 11","","","","223","UBSWCHZH89D",""
"__setup__.res_bank_54","UBS","UBS AG","true","Bahnhofstrasse 45","","Zürich","8098","base.ch","044 234 11 11","","","","230","UBSWCHZH80A",""
"__setup__.res_bank_706","NAB","Neue Aargauer Bank","true","Pilatusstrasse 5","","Aarburg","4663","base.ch","062 787 47 47","062 787 47 48","","","5881","AHHBCH22XXX",""
"__setup__.res_bank_923","CE Cossonay","Caisse d'Epargne du District de Cossonay","true","Rue du Temple 2","","Cossonay-Ville","1304","base.ch","021 863 13 13","021 863 13 10","","","6182","RBABCH22182",""
"__setup__.res_bank_1174","ZKB","Zürcher Kantonalbank","true","","","Zürich","8010","base.ch","044 293 93 93","","","","700","ZKBKCHZZ80A",""
"__setup__.res_bank_1661","OWKB","Obwaldner Kantonalbank","true","","","Sarnen 1","6061","base.ch","041 666 22 11","041 666 22 60","","","780","OBWKCH22XXX",""
"__setup__.res_bank_3060","Raiffeisen","Raiffeisenbank Züri-Unterland","true","Marktgasse 7","","Bülach","8180","base.ch","044 864 30 60","044 864 30 64","","","81475","RAIFCH22XXX",""
"__setup__.res_bank_7631","","Sparkasse Krefeld","true","Ostwall 155","","Krefeld","47798","base.de","","","","","","SPKRDE33XXX",""
"__setup__.res_bank_3699","Aareal Bank AG","Aareal Bank AG","true","Paulinenstrasse 15","","Wiesbaden","65189","base.de","611 348 0","611 348 2549","","","89144","AARBDE5WXXX",""
"__setup__.res_bank_7620","","BNP PARIBAS","true","53 Boulevard St Michel","","Paris","75005","base.fr","","","","","","BNPAFRPPPRG",""
"__setup__.res_bank_3718","","Schweizerische Nationalbank","true","Börsenstrasse 15","","Zürich","8022","base.ch","044 631 31 11","","","","","SNBZCHZZXXX",""
"__setup__.res_bank_3719","","Schweizerische Nationalbank","true","Bundesplatz 1","","Bern","3003","base.ch","031 327 02 21","","","","","SNBZCHZZXXX",""
"__setup__.res_bank_3720","","Schweizerische Nationalbank","true","Bundesverw. / Bundesplatz 1","","Bern","3003","base.ch","044 631 31 30","044 631 39 34","","","","SNBZCHZZXXX",""
"__setup__.res_bank_3721","","Banque nationale suisse","true","Rue Diday 8","","Genève 11","1211","base.ch","022 311 86 11","","","","","SNBZCHZZXXX",""
"__setup__.res_bank_3722","","Banca nazionale svizzera","true","Via Canova 12","","Lugano","6901","base.ch","091 911 10 10","","","","","SNBZCHZZXXX",""
"__setup__.res_bank_3723","","SECB Swiss Euro Clearing Bank","true","Solmsstrasse 18","","Frankfurt am Main","60486","base.de","69 97 98 98 0","69 97 98 98 98","","","","SECGDEFFXXX",""
"__setup__.res_bank_3724","","UBS AG","true","Poststrasse 10","","Uster 1","8610","base.ch","044 944 91 11","","","","","UBSWCHZH86N",""
"__setup__.res_bank_3725","","UBS AG","true","Bahnhofstrasse 1","","Dübendorf 1","8600","base.ch","044 824 41 11","","","","","UBSWCHZH86N",""
"__setup__.res_bank_3726","","UBS AG","true","Bahnhofstrasse 26","","Arbon","9320","base.ch","071 447 79 79","","","","","UBSWCHZH93A",""
"__setup__.res_bank_3727","","UBS AG","true","Poststrasse 198","","Arosa","7050","base.ch","081 378 79 79","","","","","UBSWCHZH70E",""
"__setup__.res_bank_3728","","UBS AG","true","Paradeplatz 6","","Zürich","8098","base.ch","044 234 11 11","","","","","UBSWCHZH80V",""
"__setup__.res_bank_3729","","UBS AG","true","Bahnhofstrasse 72","","Zürich","8098","base.ch","044 234 11 11","","","","","UBSWCHZH80V",""
"__setup__.res_bank_3730","","UBS AG","true","Löwenplatz / Seidengasse 17","","Zürich","8098","base.ch","044 234 11 11","","","","","UBSWCHZH80V",""
"__setup__.res_bank_3731","","UBS AG","true","Bahnhofstrasse 39","","Bülach","8180","base.ch","044 872 42 42","","","","","UBSWCHZH81M",""
